MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,cx,cy
E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,-0.092331895,51.51485408
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,0.139441948,51.58827982
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,0.140909635,51.57503987
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,0.176675655,51.55541787
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,0.143325396,51.56142326
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,0.157261033,51.55805352
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,0.135291741,51.55261865
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,0.118321488,51.5515326
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,0.148454619,51.54687146
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,0.169158287,51.54538758
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,9888,9879,9,76,3258,3,0.098836621,51.54414593
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,8402,8396,6,64.4,3125,2.7,0.122521106,51.54336205
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,9402,9319,83,78.8,3531,2.6,0.143958881,51.54024524
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,7563,7549,14,55.5,3170,2.4,0.162555232,51.53703453
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,7676,7670,6,86.6,2934,2.6,0.076531815,51.53930297
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,8498,8468,30,97,2729,3.1,0.087015608,51.54056451
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,8890,8884,6,65.5,3326,2.7,0.111766086,51.53862192
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,8276,8234,42,27.2,3010,2.7,0.134602663,51.52876379
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,9276,9274,2,27.1,3460,2.7,0.10463082,51.52480399
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,7904,7798,106,27.4,2949,2.6,0.153764346,51.52459397
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,8777,8684,93,117.2,3261,2.7,0.08154606,51.53187178
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,6482,6482,0,37.1,2431,2.7,0.112825514,51.52780577
E02000024,Barnet 001,E09000003,Barnet,E12000007,London,10156,9969,187,27.1,4110,2.4,-0.202419828,51.65809657
E02000025,Barnet 002,E09000003,Barnet,E12000007,London,7956,7929,27,33.1,3622,2.2,-0.180895104,51.65516157
E02000026,Barnet 003,E09000003,Barnet,E12000007,London,6313,6276,37,43.1,2496,2.5,-0.155381114,51.64745604
E02000027,Barnet 004,E09000003,Barnet,E12000007,London,9598,9499,99,57.3,3705,2.6,-0.203289623,51.64540375
E02000028,Barnet 005,E09000003,Barnet,E12000007,London,6166,6107,59,58.4,2473,2.5,-0.177933072,51.64424378
E02000029,Barnet 006,E09000003,Barnet,E12000007,London,8517,8507,10,50.6,3513,2.4,-0.162489584,51.64262682
E02000030,Barnet 007,E09000003,Barnet,E12000007,London,9130,9013,117,6.3,3410,2.6,-0.227999958,51.638329
E02000031,Barnet 008,E09000003,Barnet,E12000007,London,7294,7150,144,37.6,2817,2.5,-0.173644152,51.63290479
E02000032,Barnet 009,E09000003,Barnet,E12000007,London,7857,7825,32,56.2,2742,2.9,-0.139876303,51.63141903
E02000033,Barnet 010,E09000003,Barnet,E12000007,London,8537,8438,99,48.1,3317,2.5,-0.148719693,51.62633073
E02000034,Barnet 011,E09000003,Barnet,E12000007,London,8508,8450,58,54.6,3403,2.5,-0.165779652,51.62260282
E02000035,Barnet 012,E09000003,Barnet,E12000007,London,7965,7783,182,61.4,3381,2.3,-0.184135129,51.62207162
E02000036,Barnet 013,E09000003,Barnet,E12000007,London,10743,10689,54,59.9,3942,2.7,-0.263190448,51.62298848
E02000037,Barnet 014,E09000003,Barnet,E12000007,London,9741,9741,0,22.5,3397,2.9,-0.284198792,51.62876798
E02000038,Barnet 015,E09000003,Barnet,E12000007,London,10514,10285,229,59.7,4049,2.5,-0.155351523,51.61564483
E02000039,Barnet 016,E09000003,Barnet,E12000007,London,6675,6675,0,31.3,2485,2.7,-0.242347536,51.61528463
E02000040,Barnet 017,E09000003,Barnet,E12000007,London,7197,7094,103,14,2649,2.7,-0.218040294,51.61705962
E02000041,Barnet 018,E09000003,Barnet,E12000007,London,8811,8762,49,65.3,3120,2.8,-0.272604072,51.61350781
E02000042,Barnet 019,E09000003,Barnet,E12000007,London,10639,10458,181,87.7,4421,2.4,-0.177896172,51.61194338
E02000043,Barnet 020,E09000003,Barnet,E12000007,London,7696,7616,80,52.4,2693,2.8,-0.19392217,51.61444755
E02000044,Barnet 021,E09000003,Barnet,E12000007,London,8071,8071,0,72.9,2862,2.8,-0.253915575,51.61013764
