msoa_code,msoa_name,local_auth_code,local_auth_name,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,march_deaths,april_deaths,may_deaths,june_deaths,july_deaths,total_population_mid_2018,over_70_prop,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000001,City of London 001,E09000001,City of London,3,0.344589937973811,4,0.45945325063174824,1,2,1,0,0,8706,0.12359292441994,0.213694915254237,0.0261694915254237,0.0336271186440678,0.0292881355932203,7.95,3.62,2.7,3.08,1.5,30837.5,30856.5,23587.0,2635.5,5940.5
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,2,0.259067357512953,8,1.0362694300518134,1,7,0,0,0,7720,0.103886010362694,0.350110701107011,0.167232472324723,0.047970479704797,0.0398523985239852,9.26,6.15,4.99,3.91,1.88,4670.0,7695.5,14751.5,844.5,14801.0
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,3,0.271468645371459,8,0.7239163876572255,0,7,1,0,0,11051,0.0859650710342955,0.453857640617222,0.161075161772025,0.104629168740667,0.0808362369337979,10.33,7.6,5.79,4.64,1.83,11740.5,15123.5,15674.5,1912.5,10359.0
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,9,1.36653507440024,12,1.8220467658669905,2,8,2,0,0,6586,0.124658366231399,0.190229699126496,0.104982206405693,0.0163377547719184,0.00760271756713037,9.34,8.36,4.95,3.58,1.93,12869.0,13759.5,15516.0,4320.0,16398.5
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,5,0.4888063349301,7,0.684328868902141,2,4,1,0,0,10229,0.0662821390165216,0.337304368138285,0.168768979210464,0.0587479560850268,0.0351553375379584,9.37,8.79,5.15,4.26,1.47,9665.0,8974.0,14418.0,1689.0,6036.0
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,9,0.889064506569198,13,1.2842042872666206,5,5,2,1,0,10123,0.0807073002074483,0.328176544192924,0.227164145148447,0.0268456375838926,0.00807644181549311,10.12,7.25,4.76,3.88,1.61,6220.0,8286.0,11879.0,375.0,14002.0
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,10,0.791452314998021,11,0.8705975464978235,0,11,0,0,0,12635,0.0724970320538187,0.3035698850376,0.173740167689515,0.0356988503760048,0.0163367620364767,10.26,8.89,5.58,4.24,1.57,6904.0,9793.0,10842.0,1183.0,7318.0
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,7,0.603864734299516,7,0.6038647342995169,0,7,0,0,0,11592,0.0475327812284334,0.388207266229898,0.188326384752829,0.071351995235259,0.031328171530673,9.74,7.36,5.09,4.01,1.5,5329.0,9315.5,10245.0,950.5,7396.0
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,6,0.652386647819941,7,0.7611177557899315,0,7,0,0,0,9197,0.0645862781341741,0.307951247823563,0.190481717933836,0.0340104468949506,0.0107951247823563,10.45,9.12,4.86,3.61,1.46,5755.0,10318.0,12006.0,902.0,11351.0
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,6,0.859229557496778,12,1.7184591149935557,1,7,2,2,0,6983,0.0920807675784046,0.336350412154517,0.185227089057701,0.0473573622110877,0.0271537093906578,10.88,8.37,4.99,3.41,1.5,10440.5,11974.0,12000.5,2195.0,11636.0
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,3,0.265721877767936,7,0.6200177147918512,0,5,1,1,0,11290,0.0761736049601417,0.561084142394822,0.0979975728155339,0.271136731391585,0.0844457928802589,10.98,8.13,6.9,4.72,2.02,12518.0,16594.0,21963.0,1935.0,13807.0
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,4,0.449488706596246,3,0.33711652994718505,0,3,0,0,0,8899,0.0632655354534217,0.310878362294691,0.177576767436324,0.0338014758390859,0.0167817186384194,10.22,7.91,4.93,4.08,1.52,6177.0,6712.0,13939.0,1086.0,10531.0
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,3,0.299520766773162,6,0.5990415335463258,0,4,2,0,0,10016,0.0739816293929712,0.295149968091895,0.175494575622208,0.0326526271006168,0.0103169538396085,9.98,9.71,4.98,3.95,1.46,6296.5,8589.5,11046.0,1019.5,9108.5
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,3,0.371793282934688,4,0.49572437724625107,0,4,0,0,0,8069,0.0649398934192588,0.367182335052227,0.252941954250958,0.0211556260743091,0.0132222662964432,9.71,8.48,4.68,3.42,1.39,4820.0,8827.0,8761.0,265.5,13323.0
