msoa_code,msoa_name,local_auth_code,local_auth_name,total_population_mid_2018,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,total_cases,cases_per_thousand,cx,cy,population_density,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000001,City of London,E09000001,City of London,8706,3,0.344589937973811,4,0.45945325063174824,13,1.4932230645531817,-0.092331895,51.51485408,0.09250920998772003,0.12359292441994,0.120794148380355,0.0777429467084639,0.213694915254237,0.0261694915254237,0.0336271186440678,0.0292881355932203,0.32407407407407407,0.2109375,0.12057522123893807,0.2962962962962963,0.3321033210332104,0.9370413595740938,0.9332115341526052,0.6784225156358582,0.08986928104575163,0.20627936609062675
E02000002,Marks Gate,E09000002,Barking and Dagenham,7720,2,0.259067357512953,8,1.0362694300518134,17,2.2020725388601035,0.139441948,51.58827982,0.11625051166598446,0.103886010362694,0.345813204508857,0.318840579710145,0.350110701107011,0.167232472324723,0.047970479704797,0.0398523985239852,0.43434343434343436,0.49330357142857145,0.3738938053097345,0.48842592592592593,0.4723247232472324,0.1003373355289453,0.13481790447956704,0.371421125781793,0.028259373925008602,0.5590905471052002
E02000003,Chadwell Heath East,E09000002,Barking and Dagenham,11051,3,0.271468645371459,8,0.7239163876572255,41,3.7100714867432814,0.140909635,51.57503987,0.18010642652476463,0.0859650710342955,0.309098920467063,0.260850407578762,0.453857640617222,0.161075161772025,0.104629168740667,0.0808362369337979,0.5244107744107744,0.6551339285714286,0.46238938053097345,0.6574074074074073,0.4538745387453875,0.32641608978560804,0.3908719557386373,0.40349200833912446,0.06499828001375989,0.38221709006928406
E02000004,Eastbrookend,E09000002,Barking and Dagenham,6586,9,1.36653507440024,12,1.8220467658669905,34,5.16246583662314,0.176675655,51.55541787,0.08964388047482605,0.124658366231399,0.311406578026592,0.26557032890133,0.190229699126496,0.104982206405693,0.0163377547719184,0.00760271756713037,0.44107744107744107,0.7399553571428572,0.36946902654867253,0.412037037037037,0.4907749077490775,0.36249980015667715,0.3438528757820714,0.3979847116052815,0.1478156174750602,0.6227004857848212
E02000005,Becontree Heath,E09000002,Barking and Dagenham,10229,5,0.4888063349301,7,0.684328868902141,22,2.1507478736924432,0.143325396,51.56142326,0.28325828898894806,0.0662821390165216,0.337134909596662,0.322392211404729,0.337304368138285,0.168768979210464,0.0587479560850268,0.0351553375379584,0.44360269360269355,0.7879464285714286,0.3915929203539823,0.5694444444444443,0.3210332103321033,0.26005211913859533,0.17888967407228668,0.35983321751216124,0.05730994152046784,0.21008202596161504
E02000007,Central Park & Frizlands Lane,E09000002,Barking and Dagenham,10123,9,0.889064506569198,13,1.2842042872666206,31,3.0623333004050184,0.157261033,51.55805352,0.19525173966434714,0.0807073002074483,0.350692354003612,0.361830222757375,0.328176544192924,0.227164145148447,0.0268456375838926,0.00807644181549311,0.5067340067340067,0.6160714285714286,0.3484513274336283,0.4814814814814814,0.37269372693726943,0.14989847959199987,0.15517330529654078,0.2716122307157749,0.012108703130374956,0.5272756231583977
E02000008,Becontree East,E09000002,Barking and Dagenham,12635,10,0.791452314998021,11,0.8705975464978235,42,3.3240997229916895,0.135291741,51.55261865,0.3217355710192387,0.0724970320538187,0.330408073716542,0.357393593681439,0.3035698850376,0.173740167689515,0.0356988503760048,0.0163367620364767,0.5185185185185185,0.799107142857143,0.4391592920353983,0.5648148148148148,0.3579335793357934,0.17176933284305104,0.20712180492597254,0.23558026407227242,0.03990368077055383,0.2611292506171856
E02000009,Becontree West,E09000002,Barking and Dagenham,11592,7,0.603864734299516,7,0.6038647342995169,29,2.5017253278122844,0.118321488,51.5515326,0.34588620548505944,0.0475327812284334,0.332380680194341,0.331237496427551,0.388207266229898,0.188326384752829,0.071351995235259,0.031328171530673,0.4747474747474748,0.6283482142857144,0.3849557522123893,0.511574074074074,0.3321033210332104,0.1214088154886569,0.19066167979455007,0.2148366921473245,0.03190574475404197,0.2642350879987258
E02000010,Dagenham North,E09000002,Barking and Dagenham,9197,6,0.652386647819941,7,0.7611177557899315,18,1.957159943459824,0.148454619,51.54687146,0.3024969300040934,0.0645862781341741,0.330713245997089,0.355458515283843,0.307951247823563,0.190481717933836,0.0340104468949506,0.0107951247823563,0.5345117845117844,0.8247767857142856,0.3595132743362832,0.4189814814814814,0.31734317343173435,0.1350301363730835,0.22521932470397632,0.27602501737317586,0.030237358101135193,0.42171697061400015
E02000011,Dagenham Eastbrook,E09000002,Barking and Dagenham,6983,6,0.859229557496778,12,1.7184591149935557,13,1.8616640412430188,0.169158287,51.54538758,0.1469504707327057,0.0920807675784046,0.325422509888529,0.307083782811938,0.336350412154517,0.185227089057701,0.0473573622110877,0.0271537093906578,0.5707070707070707,0.7410714285714286,0.3738938053097345,0.3726851851851851,0.3321033210332104,0.28484867863594937,0.2823040728037367,0.27583391243919386,0.07471620227038184,0.43306522258501234
E02000012,Longbridge & Barking Park,E09000002,Barking and Dagenham,11290,3,0.265721877767936,7,0.6200177147918512,37,3.2772364924712134,0.098836621,51.54414593,0.29922226770364313,0.0761736049601417,0.29746835443038,0.274027191748711,0.561084142394822,0.0979975728155339,0.271136731391585,0.0844457928802589,0.5791245791245792,0.7142857142857144,0.5851769911504425,0.6759259259259257,0.5239852398523985,0.3512765991462693,0.44156224685016976,0.6219944405837388,0.06577227382180942,0.5195110297045472
E02000013,Becontree South,E09000002,Barking and Dagenham,8899,4,0.449488706596246,3,0.33711652994718505,11,1.2360939431396787,0.12252110599999999,51.54336205,0.25173966434711426,0.0632655354534217,0.336147120892373,0.346397347000302,0.310878362294691,0.177576767436324,0.0338014758390859,0.0167817186384194,0.5151515151515151,0.689732142857143,0.3672566371681415,0.5277777777777777,0.3394833948339483,0.14852355753089577,0.10091521742877332,0.3431897150799166,0.036566907464740284,0.38906585967985985
E02000014,Dagenham Central,E09000002,Barking and Dagenham,10016,3,0.299520766773162,6,0.5990415335463258,35,3.4944089456869007,0.14395888099999998,51.54024524,0.31068358575521904,0.0739816293929712,0.338688438240716,0.374769554911772,0.295149968091895,0.175494575622208,0.0326526271006168,0.0103169538396085,0.49494949494949503,0.890625,0.3727876106194691,0.4976851851851851,0.31734317343173435,0.152344561863499,0.16563539530153915,0.24266851980542045,0.03427932576539388,0.3324241458947201
E02000015,Old Dagenham Park & Village,E09000002,Barking and Dagenham,8069,3,0.371793282934688,4,0.49572437724625107,16,1.9828975089850043,0.162555232,51.53703453,0.215309046254605,0.0649398934192588,0.325380359612725,0.35926694329184,0.367182335052227,0.252941954250958,0.0211556260743091,0.0132222662964432,0.4722222222222223,0.7533482142857144,0.33960176991150437,0.3749999999999999,0.29151291512915123,0.10513357527698283,0.1738223685344456,0.163273106323836,0.008341933264533884,0.5002389105678108
E02000016,Barking Central,E09000002,Barking and Dagenham,9944,1,0.100563153660498,1,0.1005631536604988,20,2.011263073209976,0.076531815,51.53930297,0.3426115431846091,0.0215205148833467,0.30833077159545,0.290808484475868,0.704142782699322,0.270062532569046,0.168837936425221,0.120505471599791,0.30218855218855223,0.546875,0.38053097345132736,0.3680555555555556,0.19557195571955716,0.12417464707669187,0.4569020493286682,0.4228630993745657,0.008376332989336085,0.2506370948474954
E02000017,Barking East,E09000002,Barking and Dagenham,9331,3,0.321508948665737,6,0.6430178973314757,29,3.107919837102133,0.08701560800000001,51.54056451,0.3851821530904626,0.0590504769049405,0.304440308428609,0.289550651422494,0.687338197222875,0.125441280301247,0.307954812897152,0.127324076253236,0.446969696969697,0.6830357142857142,0.5597345132743362,0.5393518518518517,0.3763837638376384,0.3411725207437369,0.4354263258587704,0.49047949965253645,0.0347437220502236,0.2907541610257227
E02000018,Mayesbrook Park & Rippleside,E09000002,Barking and Dagenham,9789,6,0.612932883849218,13,1.3280212483399734,26,2.6560424966799467,0.111766086,51.53862192,0.25624232501023336,0.0564919807947696,0.341101077774541,0.33003204194582,0.358605174353205,0.198987626546681,0.0572553430821147,0.0157480314960629,0.5244107744107744,0.689732142857143,0.39491150442477874,0.5324074074074072,0.3837638376383763,0.19063454251866535,0.1456247091470036,0.2407922168172342,0.024045407636738906,0.31436648881102175
E02000019,Goresbrook & Scrattons Farm,E09000002,Barking and Dagenham,9148,5,0.54656755574989,8,0.8745080891998251,26,2.8421512898994314,0.134602663,51.52876379,0.09946786737617684,0.0606689986882378,0.328301886792453,0.334397677793904,0.361164813919768,0.220637989366843,0.0453117448042532,0.0184871918801353,0.5698653198653197,0.9051339285714286,0.4170353982300885,0.5717592592592591,0.42435424354243545,0.1696909622855681,0.22794257053723782,0.3373870743571925,0.028379772961816305,0.37055029067452416
E02000020,Creekmouth & Barking Riverside,E09000002,Barking and Dagenham,13015,2,0.153668843641951,5,0.384172109104879,41,3.1502112946600076,0.10463082,51.52480399,0.09905853458862056,0.0549366116019977,0.319638455217749,0.319364557655437,0.536438119879258,0.217119448037947,0.130012936610608,0.0603708495040965,0.4377104377104377,0.6953125,0.456858407079646,0.5694444444444443,0.32472324723247237,0.18890789620937185,0.20202002792188767,0.3916608756080612,0.01871345029239766,0.23906984152265673
E02000021,Rylands Estate & Dagenham Dock,E09000002,Barking and Dagenham,8970,6,0.668896321070234,6,0.6688963210702341,14,1.560758082497213,0.153764346,51.52459397,0.1002865329512894,0.0688963210702341,0.318113547611895,0.331330729948934,0.424595141700404,0.280743927125506,0.0388410931174089,0.0311234817813765,0.5143097643097644,0.7868303571428572,0.36283185840707954,0.5138888888888887,0.32472324723247237,0.2341524244991926,0.2384908392078457,0.390722724113968,0.02218782249742002,0.2913116190172812
E02000022,Gascoigne Estate & Roding Riverside,E09000002,Barking and Dagenham,8354,3,0.359109408666507,4,0.4788125448886761,10,1.1970313622216902,0.08154606,51.53187178,0.4678673761768319,0.029087862101987,0.346294449983383,0.36889332003988,0.617750939956705,0.358778625954198,0.0924005924575595,0.0355474535718354,0.33333333333333337,0.6462053571428572,0.39601769911504425,0.39814814814814814,0.22140221402214022,0.10401445266910742,0.21677381547424118,0.21375955524669907,0.0016855865153078777,0.40049374850680897
E02000023,Thames View,E09000002,Barking and Dagenham,7985,2,0.250469630557294,4,0.5009392611145899,23,2.880400751408892,0.112825514,51.52780577,0.1399918133442489,0.0329367564182842,0.344956413449564,0.355334163553342,0.548287565566183,0.360536871336007,0.0745140388768898,0.0192841715519901,0.3973063973063973,0.6819196428571428,0.3683628318584071,0.5439814814814815,0.26199261992619927,0.06973732593646581,0.16263637773832712,0.3307852675469076,0.014757481940144477,0.39900055745799157
E02000024,High Barnet & Hadley,E09000003,Barnet,10988,6,0.546050236621769,13,1.1831088460138333,42,3.8223516563523843,-0.202419828,51.65809657,0.09905853458862056,0.147524572260647,0.242840778923253,0.160175639557083,0.166010240252067,0.0238282788499409,0.00905868452146514,0.0375147695943284,0.6809764309764309,0.35714285714285715,0.3484513274336283,0.798611111111111,0.7490774907749077,0.7633055684343474,0.9411054999224392,0.9491660875608061,0.5349157206742345,0.5716134427012821
E02000025,Hadley Wood,E09000003,Barnet,8451,12,1.41995030173943,15,1.774937877174299,26,3.076558987102118,-0.18089510399999997,51.65516157,0.12361850184199757,0.119985800496982,0.262347188264059,0.184841075794621,0.212669683257918,0.0465057817998994,0.0109351432880844,0.037833081950729,0.5269360269360269,0.42075892857142855,0.3252212389380531,0.5625,0.6642066420664207,0.4759468576635917,0.9080645995277409,0.871264767199444,0.22335741314069488,0.6307637174484352
E02000026,Oak Hill,E09000003,Barnet,6629,2,0.301704631166088,7,1.0559662090813093,14,2.1119324181626187,-0.15538111400000001,51.64745604,0.1645517805976259,0.137124754864987,0.259016393442623,0.181639344262295,0.214161254554094,0.037858387454459,0.00934579439252336,0.0475209884365594,0.611111111111111,0.39174107142857145,0.34623893805309736,0.5833333333333334,0.7380073800738007,0.5755647572303314,0.8468605112118445,0.9359624739402364,0.37748538011695904,0.47893605160468267
E02000027,Ducks Island & Underhill,E09000003,Barnet,9753,9,0.9227929867733,14,1.4354557572029119,42,4.306367271608735,-0.203289623,51.64540375,0.2226770364306181,0.111452886291397,0.301236329053733,0.243937232524964,0.303292352573452,0.094394665555324,0.0144821837882892,0.0421962908939362,0.617003367003367,0.34933035714285715,0.3595132743362832,0.7083333333333334,0.6752767527675277,0.3538026187469024,0.4961305779141316,0.6101285615010424,0.2637598899208806,0.6364577526479255
E02000028,New Barnet West,E09000003,Barnet,6693,2,0.298819662333781,10,1.4940983116689077,25,3.7352457791722697,-0.177933072,51.64424378,0.22717969709373723,0.117734946959509,0.244402985074627,0.160136815920398,0.251378527408368,0.0481673694453454,0.0150827116445021,0.0617904638339279,0.5580808080808081,0.42299107142857145,0.3241150442477876,0.5902777777777776,0.6494464944649446,0.5412716430318629,0.8434478360537065,0.9209867963863794,0.3118335053319573,0.5053157601337899
E02000029,New Barnet Town & East Barnet,E09000003,Barnet,9382,7,0.746109571519931,9,0.9592837348113409,37,3.943722020891068,-0.162489584,51.64262682,0.19525173966434714,0.0916648902153059,0.270764119601329,0.206691979117228,0.25020547141012,0.0587061171774098,0.00868850534225666,0.0433251144769284,0.611111111111111,0.49218749999999994,0.33960176991150437,0.6759259259259257,0.6531365313653137,0.3590145326064365,0.6928937072338373,0.7486101459346769,0.47217062263501886,0.42900374293222904
E02000030,Totteridge & Barnet Gate,E09000003,Barnet,9288,6,0.645994832041343,10,1.0766580534022394,54,5.813953488372093,-0.227999958,51.638329,0.013917314776913634,0.16828165374677,0.236673773987207,0.164889836531628,0.24972617743702,0.0398685651697699,0.0151150054764512,0.0599123767798466,0.59006734006734,0.33928571428571425,0.3086283185840708,0.6319444444444443,0.6752767527675277,0.7118259284720778,0.84131060514659,0.8682939541348158,0.16028551771585828,0.7563311300469857
