msoa_code,msoa_name,local_auth_code,local_auth_name,total_cases,total_population_mid_2018,cases_per_thousand,cx,cy,week,cases,cummulative_cases,cases_delta,cummulative_delta,cases_rank_stand,date
E02000001,City of London,E09000001,City of London,13,8706,1.4932230645531817,-0.092331895,51.51485408,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000002,Marks Gate,E09000002,Barking and Dagenham,17,7720,2.2020725388601035,0.139441948,51.58827982,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000003,Chadwell Heath East,E09000002,Barking and Dagenham,41,11051,3.7100714867432814,0.140909635,51.57503987,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000004,Eastbrookend,E09000002,Barking and Dagenham,34,6586,5.16246583662314,0.176675655,51.55541787,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000005,Becontree Heath,E09000002,Barking and Dagenham,22,10229,2.1507478736924432,0.143325396,51.56142326,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000007,Central Park & Frizlands Lane,E09000002,Barking and Dagenham,31,10123,3.0623333004050184,0.157261033,51.55805352,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000008,Becontree East,E09000002,Barking and Dagenham,42,12635,3.3240997229916895,0.135291741,51.55261865,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000009,Becontree West,E09000002,Barking and Dagenham,29,11592,2.5017253278122844,0.118321488,51.5515326,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000010,Dagenham North,E09000002,Barking and Dagenham,18,9197,1.957159943459824,0.148454619,51.54687146,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000011,Dagenham Eastbrook,E09000002,Barking and Dagenham,13,6983,1.8616640412430188,0.169158287,51.54538758,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000012,Longbridge & Barking Park,E09000002,Barking and Dagenham,37,11290,3.2772364924712134,0.098836621,51.54414593,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000013,Becontree South,E09000002,Barking and Dagenham,11,8899,1.2360939431396787,0.12252110599999999,51.54336205,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000014,Dagenham Central,E09000002,Barking and Dagenham,35,10016,3.4944089456869007,0.14395888099999998,51.54024524,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000015,Old Dagenham Park & Village,E09000002,Barking and Dagenham,16,8069,1.9828975089850043,0.162555232,51.53703453,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000016,Barking Central,E09000002,Barking and Dagenham,20,9944,2.011263073209976,0.076531815,51.53930297,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000017,Barking East,E09000002,Barking and Dagenham,29,9331,3.107919837102133,0.08701560800000001,51.54056451,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000018,Mayesbrook Park & Rippleside,E09000002,Barking and Dagenham,26,9789,2.6560424966799467,0.111766086,51.53862192,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000019,Goresbrook & Scrattons Farm,E09000002,Barking and Dagenham,26,9148,2.8421512898994314,0.134602663,51.52876379,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000020,Creekmouth & Barking Riverside,E09000002,Barking and Dagenham,41,13015,3.1502112946600076,0.10463082,51.52480399,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000021,Rylands Estate & Dagenham Dock,E09000002,Barking and Dagenham,14,8970,1.560758082497213,0.153764346,51.52459397,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000022,Gascoigne Estate & Roding Riverside,E09000002,Barking and Dagenham,10,8354,1.1970313622216902,0.08154606,51.53187178,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000023,Thames View,E09000002,Barking and Dagenham,23,7985,2.880400751408892,0.112825514,51.52780577,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000024,High Barnet & Hadley,E09000003,Barnet,42,10988,3.8223516563523843,-0.202419828,51.65809657,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000025,Hadley Wood,E09000003,Barnet,26,8451,3.076558987102118,-0.18089510399999997,51.65516157,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000026,Oak Hill,E09000003,Barnet,14,6629,2.1119324181626187,-0.15538111400000001,51.64745604,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000027,Ducks Island & Underhill,E09000003,Barnet,42,9753,4.306367271608735,-0.203289623,51.64540375,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000028,New Barnet West,E09000003,Barnet,25,6693,3.7352457791722697,-0.177933072,51.64424378,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000029,New Barnet Town & East Barnet,E09000003,Barnet,37,9382,3.943722020891068,-0.162489584,51.64262682,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
